"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"27-33","94 MAIN ST","0","0","0","0","1","0","0.00%","3000","69","","False","4","1956","10","03/22/2016","3485","890050","40.6","False","","1000",
"10-1","11 DANIELS ROAD","8","4","2","0","1","1","0.00%","2000","6","","False","4","1968","10","12/11/2017","2292","820900","6.62","False","COLONIAL","2000",
"10-10","17 MORGAN STREET","9","5","2","0","1","1","0.00%","6700","6","","False","5","1973","775000","05/30/2018","2526","970300","16.06","False","COLONIAL","6700",
"10-12","15 WM FAIRFIELD DR","7","4","4","0","1","3","0.00%","6500","6","","False","6","1981","0","05/01/1981","3484","1433300","2.92","False","COLONIAL","6500",
"10-13","16 WM FAIRFIELD DR","9","4","2","0","2","4","0.00%","6500","6","","False","6","1982","730000","02/11/2011","4168","1376800","37.28","False","COLONIAL","6500",
"10-14","18 WM FAIRFIELD DR","9","4","3","0","2","3","0.00%","6500","6","","False","6","1982","1600000","09/04/2019","5922","1542400","-5.26","False","COLONIAL","6500",
"10-16","22 WM FAIRFIELD DR","9","5","3","0","1","1","0.00%","6500","9","","False","6","1985","1","03/31/2023","3670","1316600","7.71","False","CONTEMPORY","6500",
"10-17","24 WM FAIRFIELD DR","7","4","3","0","0","3","0.00%","6500","6","","False","6","1982","885000","08/01/2005","4229","1396400","25.62","False","COLONIAL","6500",
"10-18","23 WM FAIRFIELD DR","8","4","2","0","1","1","0.00%","6500","6","","False","6","1983","869000","02/03/2017","2401","1304200","33.61","False","COLONIAL","6500",
"10-19","19 WM FAIRFIELD DR","9","5","3","0","2","2","0.00%","6500","9","","False","6","1982","1180000","08/28/2017","4519","1478000","10.04","False","CONTEMPORY","6500",
"10-2","8 DANIELS ROAD","8","4","1","0","1","1","0.00%","2000","6","","False","4","1970","805000","10/15/2020","3391","895000","4.59","False","COLONIAL","2000",
"10-20","17 WM FAIRFIELD DR","8","4","1","2","1","2","0.00%","6500","5","","False","6","1985","1150000","01/15/2021","3288","1366300","25.51","False","CAPE","6500",
"10-21","25 WM FAIRFIELD DR","11","4","3","0","1","4","0.00%","6500","6","","False","6","1982","1","01/17/2020","3785","1492900","-0.13","False","COLONIAL","6500",
"10-23","39 WM FAIRFIELD DR","10","4","4","0","0","3","0.00%","6500","6","","False","6","1982","1160000","12/15/2017","4062","1380300","7.03","False","COLONIAL","6500",
"10-25","2 SPEAKERS LANE","9","4","3","0","1","2","0.00%","6500","6","","False","5","1983","1150000","05/14/2021","3662","1269100","11.75","False","COLONIAL","6500",
