"ParcelID","Location","RM","BD","BA","34BA","HB","FP","Owned","NBC","Imp","Floor","Loc","Grade","Built","Price","Date","Area","Value","_Change","f0","Type","Nhood",
"12-30","2 REMINGTON ROAD","12","3","2","0","1","1","0.00%","3000","6","","False","4","1985","640000","07/02/2007","3018","951800","12.13","False","COLONIAL","3000",
"12-4","27 PLEASANT STREET","5","2","1","0","1","1","0.00%","3000","19","","False","3","1953","1","03/06/2023","1674","738200","-1.72","False","RANCH","3000",
"12-5","29 PLEASANT STREET","6","3","1","0","0","0","0.00%","3000","22","","False","4","1850","483000","12/17/2007","2544","908900","23.59","False","CONVENTONL","3000",
"12-6","41 PLEASANT STREET","7","3","2","0","1","1","0.00%","3000","6","","False","3","1959","601000","06/29/2009","2468","931300","9.62","False","COLONIAL","3000",
"12-6A","43 PLEASANT STREET","9","4","2","0","1","1","0.00%","3000","6","","False","4","2007","699900","06/13/2018","4596","1060300","22.62","False","COLONIAL","3000",
"12-7","49 PLEASANT STREET","8","4","2","0","1","1","0.00%","3000","6","","False","3","1983","265000","05/01/1987","1620","907200","12.53","False","COLONIAL","3000",
"12-7A","51 PLEASANT STREET","8","4","2","0","1","1","0.00%","3000","6","","False","3","1983","247500","03/28/1997","2052","873400","12.84","False","COLONIAL","3000",
"12-7B","53 PLEASANT STREET","8","4","2","0","1","1","0.00%","3000","6","","False","3","1984","432000","03/26/2001","2223","901700","13.91","False","COLONIAL","3000",
"12-7C","55 PLEASANT STREET","8","4","2","0","1","1","0.00%","3000","6","","False","3","1984","160000","11/01/1984","2052","875600","13.38","False","COLONIAL","3000",
"12-8","75 PLEASANT STREET","5","3","2","0","1","2","0.00%","3000","19","","False","3","1949","1","01/26/2010","2084","736200","1.91","False","","1000",
"12-8","75 PLEASANT STREET","5","3","2","0","1","2","0.00%","3000","19","","False","3","1949","1","01/26/2010","2084","736200","1.91","False","RANCH","3000",
"12-8","75 PLEASANT STREET","5","3","2","0","1","2","0.00%","3000","19","","False","3","1949","1","01/26/2010","2084","736200","1.91","False","RANCH","1000",
"12-8","75 PLEASANT STREET","5","3","2","0","1","2","0.00%","3000","19","","False","3","1949","1","01/26/2010","2084","736200","1.91","False","RANCH","3000",
"12-8","75 PLEASANT STREET","5","3","2","0","1","2","0.00%","3000","19","","False","3","1949","1","01/26/2010","2084","736200","1.91","False","RANCH","1000",
"13-1","12 EDDEL AVENUE","4","2","1","0","0","0","0.00%","2000","5","","False","0","1949","500000","09/09/2022","1326","573300","-17.43","False","CAPE","2000",
"13-10","15 JUNIPER STREET","7","3","2","0","0","1","0.00%","5020","5","","False","3","1952","390000","03/29/2002","1876","765100","6.18","False","CAPE","5020",
"13-10","15 JUNIPER STREET","7","3","2","0","0","1","0.00%","5020","5","","False","3","1952","390000","03/29/2002","1876","765100","6.18","False","","5020",
"13-100","4 HOWARD STREET","7","3","1","0","1","1","0.00%","2000","5","","False","3","1967","649900","01/20/2022","1428","647800","9.5","False","CAPE","2000",
"13-101","6 HOWARD STREET","6","4","1","0","1","0","0.00%","2000","5","","False","3","1950","500000","04/24/2018","1326","682200","9.94","False","CAPE","2000",
"13-102","8 HOWARD STREET","6","3","1","0","1","0","0.00%","2000","5","","False","3","1941","0","01/01/1954","1385","634500","28.18","False","CAPE","2000",
"13-103","10 HOWARD STREET","5","2","1","0","0","1","0.00%","2000","19","","False","3","1952","1","06/01/2021","934","611000","-2.49","False","RANCH","2000",
"13-104","14 HOWARD STREET","7","3","1","0","2","0","0.00%","2000","15","","False","3","1920","1","07/10/2023","1988","709400","5.38","False","OLD STYLE","2000",
"13-105","1 STANTON STREET","8","4","2","0","0","1","0.00%","2000","6","","False","4","1950","1","11/29/2002","2493","794000","20.03","False","COLONIAL","2000",
"13-106","3 STANTON STREET","6","3","1","0","1","1","0.00%","2000","19","","False","3","1955","420000","09/29/2011","1945","645100","-2.93","False","RANCH","2000",
"13-107","5 STANTON STREET","6","3","2","0","0","1","0.00%","2000","5","","False","3","1965","1","01/14/2022","1638","664600","8.61","False","CAPE","2000",
"13-108","2 STANTON STREET","8","3","2","0","0","1","0.00%","2000","5","","False","3","1946","0","11/01/1972","1624","671300","11.16","False","CAPE","2000",
"13-109","4 STANTON STREET","7","3","2","0","1","1","0.00%","2000","5","","False","4","1956","685000","09/15/2017","2176","870400","10.18","False","CAPE","2000",
