ParcelID,Location,RM,BD,BA,3/4BA,HB,FP,Owned,NBC,Imp,Floor,Loc,Grade,Built,Price,Date,Area,Value,% Change,Header,
14-6,225    MAIN ST  ,0,0,0,0,0,4,0.00%,3010,78,,,B-  ,1854,900000,07/31/2009,7095,1208000,7.74,Entry,
19-88A,143    MAIN ST  ,0,1,2,0,2,0,0.00%,3010,15,,,B-  ,1855,1,09/23/2019,2,869,830,800,55.73,Entry,
24-3A,58    MAPLE ST  ,5,3,2,0,0,0,0.00%,1000,6,,,C   ,1900,0,11/01/1985,6,692,1,7,200,11.72,Entry,
29-4A,82    WALNUT RD  ,8,4,2,0,2,3,0.00%,6500,6,,,C+  ,1997,0,12/21/1999,16,741,2,749,100,41.78,Entry,
33-23,29    BURLEY ST  ,0,0,0,0,1,0,0.00%,1000,43,,,C   ,1885,0,02/01/1979,1,264,538,500,8.48,Entry,
40-1,65    DODGES ROW  ,8,4,4,0,1,4,0.00%,6000,9,,,B   ,1967,1,600,0,10/01/2021,5,926,1,581,600,31.47,Entry,
41-10,136    GRAPEVINE RD  ,8,4,2,0,1,1,0.00%,6000,6,,,B-  ,1905,0,12/01/1973,3,203,1,175,334,48.2,Entry,
18-2,69    CHERRY ST  ,10,6,3,0,1,3,0.00%,3000,6,,,AA  ,1900,2,500,0,12/19/2002,3,590,1,571,556,1.6,Entry,
18-64,74    CHERRY ST  ,15,6,5,0,2,8,0.00%,3000,101,,,A-  ,1936,1,260,0,04/01/1990,8,591,3,251,0,28.37,Entry,
24-9,9    MAPLE ST  ,17,7,6,0,1,6,0.00%,1000,1,,,B   ,1659,0,06/01/1979,8,296,2,189,45,2.5,Entry,
26-13,87    MAIN ST  ,7,3,1,0,1,1,0.00%,3000,5,,,C   ,1983,2,200,0,02/08/2018,2,246,906,521,12.88,Entry,
28-5,110    LARCH ROW  ,2,1,1,0,0,0,0.00%,3010,22,,,D   ,1982,2,100,0,09/22/2022,4,648,1,635,85,-12.07,Entry,
28-5C,96    LARCH ROW  ,8,3,3,0,1,1,0.00%,3010,6,,,AA  ,2006,3,350,0,05/06/2022,6,576,2,283,115,10.27,Entry,
39-7,57    DODGES ROW  ,11,5,5,0,1,6,0.00%,6000,101,,,C   ,1900,1,10/07/2002,5,676,1,410,800,21.64,Entry,
9-4,212    TOPSFIELD ROAD  ,8,4,2,0,0,0,0.00%,1000,12,,,C+  ,1938,0,09/01/1955,2,846,800,1,7.98,Entry,
19-80,154    MAIN ST  ,0,0,0,0,2,0,0.00%,3020,64,,,C   ,1900,10,02/06/2008,1,912,698,100,47.59,Entry,
48-14,9    HORSEHILL LANE  ,0,0,0,0,1,0,0.00%,1000,78,,,C-  ,1965,1,07/18/2016,2,64,690,200,7.57,Entry,
27-33,94    MAIN ST  ,0,0,0,0,1,0,0.00%,3000,69,,,C+  ,1956,10,03/22/2016,3,485,890,50,40.6,Entry,
10-1,11    DANIELS ROAD  ,8,4,2,0,1,1,0.00%,2000,6,,,C+  ,1968,10,12/11/2017,2,292,820,900,6.62,Entry,
10-10,17    MORGAN STREET  ,9,5,2,0,1,1,0.00%,6700,6,,,B-  ,1973,775,0,05/30/2018,2,526,970,300,16.06,Entry,
10-12,15    WM FAIRFIELD DR  ,7,4,4,0,1,3,0.00%,6500,6,,,B   ,1981,0,05/01/1981,3,484,1,433,300,2.92,Entry,
10-13,16    WM FAIRFIELD DR  ,9,4,2,0,2,4,0.00%,6500,6,,,B   ,1982,730,0,02/11/2011,4,168,1,376,800,37.28,Entry,
10-14,18    WM FAIRFIELD DR  ,9,4,3,0,2,3,0.00%,6500,6,,,B   ,1982,1,600,0,09/04/2019,5,922,1,542,400,-5.26,Entry,
